Rating,Problem Name,Tags,ContestID,Index
,Shuffling Songs,bitmasks;dfs and similar;dp;graphs;hashing;implementation;strings,1950,G
,0, 1, 2, Tree!,bitmasks;brute force;greedy;implementation;trees,1950,F
,Nearly Shortest Repeating Substring,brute force;implementation;number theory;strings,1950,E
,Product of Binary Decimals,brute force;dp;implementation;number theory,1950,D
,Clock Conversion,implementation;math,1950,C
,Upscaling,implementation,1950,B
,Stair, Peak, or Neither?,implementation,1950,A
,Make Triangle,constructive algorithms;math,1949,K
,Amanda the Amoeba,graphs;implementation;trees;two pointers,1949,J
,Disks,dfs and similar;geometry;graph matchings;graphs,1949,I
,Division Avoidance,greedy;math,1949,H
,Scooter,graphs;greedy,1949,G
,Dating,greedy;sortings;trees,1949,F
,Damage per Second,brute force;math,1949,E
,Funny or Scary?,constructive algorithms,1949,D
,Annual Ants' Gathering,dfs and similar;greedy;trees,1949,C
,Charming Meals,binary search;brute force;greedy;sortings,1949,B
,Grove,brute force;dfs and similar;dp;geometry;probabilities,1949,A
3100,MST with Matching,bitmasks;brute force;dsu;graph matchings;trees,1948,G
2500,Rare Coins,combinatorics;math;probabilities,1948,F
2100,Clique Partition,brute force;constructive algorithms;graphs;greedy;implementation,1948,E
1700,Tandem Repeats?,brute force;strings;two pointers,1948,D
1300,Arrow Path,brute force;constructive algorithms;dfs and similar;dp;graphs;shortest paths,1948,C
1100,Array Fix,brute force;dp;greedy;implementation,1948,B
800,Special Characters,brute force;constructive algorithms,1948,A
2500,Nobody is needed,2-sat;data structures;dfs and similar;dp,1946,F
2200,Girl Permutation,combinatorics;dp;math;number theory,1946,E
1900,Birthday Gift,bitmasks;brute force;constructive algorithms;greedy;implementation,1946,D
1600,Tree Cutting,binary search;dp;greedy;implementation;trees,1946,C
1100,Maximum Sum,dp;greedy;math,1946,B
800,Median of an Array,greedy;implementation;sortings,1946,A
2600,GCD is Greater,brute force;data structures;math;number theory,1945,H
2500,Cook and Porridge,binary search;constructive algorithms;data structures;implementation,1945,G
1900,Kirill and Mushrooms,data structures;sortings,1945,F
1700,Binary Search,binary search;constructive algorithms;greedy,1945,E
1300,Seraphim the Owl,dp;greedy,1945,D
1200,Left and Right Houses,brute force,1945,C
900,Fireworks,math;number theory,1945,B
800,Setting up Camp,greedy;math,1945,A
1100,Equal XOR,bitmasks;constructive algorithms,1944,B
800,Destroying Bridges,graphs;greedy;math,1944,A
3500,Minimum Hamming Distance,dp,1943,F
3300,MEX Game 2 (Hard Version),binary search;greedy;two pointers,1943,E2
2900,MEX Game 2 (Easy Version),binary search;brute force;greedy,1943,E1
2800,Counting Is Fun (Hard Version),combinatorics;dp,1943,D2
2400,Counting Is Fun (Easy Version),brute force;combinatorics;dp;math,1943,D1
2300,Tree Compass,constructive algorithms;dfs and similar;greedy;trees,1943,C
